gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0.0,0.0,1.0,1.0,0.4507042253521127,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.4,0.22347103623355646
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.7019900497512437,0.008077544426494346
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114427860696517,0.0035483498730671586
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2746268656716418,0.0031213939533810296
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5139303482587065,0.0058966074313408735
1.0,1.0,1.0,0.0,0.7042253521126761,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.7502487562189055,0.5562370182321716
1.0,0.0,0.0,0.0,0.8028169014084507,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.061691542288557194,0.1724901915531964
0.0,0.0,0.0,1.0,0.04225352112676056,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7945273631840796,0.04356104315716594
0.0,0.0,1.0,1.0,0.056338028169014086,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.6502487562189054,0.04447265174244173
0.0,0.0,1.0,0.0,0.5492957746478874,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.8706467661691543,0.48577775213477964
0.0,0.0,1.0,1.0,0.8873239436619719,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.35422885572139307,0.39015116547426726
0.0,0.0,0.0,0.0,0.15492957746478872,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8104477611940298,0.14073967228248327
1.0,1.0,1.0,0.0,0.49295774647887325,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.3567164179104477,0.2277925225017309
0.0,1.0,0.0,0.0,0.9859154929577465,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.8099502487562189,0.7999480729286867
0.0,0.0,0.0,0.0,0.19718309859154928,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.46169154228855724,0.11259519963074083
1.0,0.0,0.0,0.0,0.04225352112676056,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5582089552238805,0.02845026540503116
1.0,0.0,1.0,1.0,0.19718309859154928,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.013930348258706454,0.036216247403646436
0.0,0.0,0.0,0.0,0.5774647887323944,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8651741293532339,0.5056485114239557
0.0,0.0,0.0,0.0,0.15492957746478872,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3144278606965174,0.06153934918070622
0.0,0.0,1.0,1.0,0.5352112676056339,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.05920398009950248,0.10336948996076623
0.0,0.0,0.0,0.0,0.14084507042253522,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7920398009950248,0.12538656819755367
1.0,0.0,0.0,0.0,0.014084507042253521,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.29402985074626864,0.008498730671590123
0.0,0.0,1.0,0.0,0.28169014084507044,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8572139303482588,0.25172513270251556
1.0,0.0,1.0,1.0,0.11267605633802817,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.607960199004975,0.07413454881144704
0.0,0.0,1.0,1.0,0.8309859154929577,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.755223880597015,0.6684744980383107
1.0,1.0,0.0,0.0,0.7464788732394366,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.37014925373134333,0.34019732287099
0.0,1.0,1.0,0.0,0.19718309859154928,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6447761194029851,0.14303023309485347
1.0,1.0,1.0,0.0,0.7464788732394366,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554726368159204,0.4500750057696746
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9611940298507461,0.9576678975305793
0.0,0.0,0.0,0.0,0.15492957746478872,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6099502487562188,0.10840641587814448
1.0,0.0,0.0,0.0,0.5915492957746479,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5930348258706467,0.3862277867528271
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8472636815920399,0.8485864297253635
1.0,0.0,1.0,0.0,0.8028169014084507,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.41840796019900495,0.40906992845603507
1.0,1.0,1.0,0.0,0.25352112676056343,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.15970149253731342,0.06442995615047312
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.998574890376183
1.0,0.0,0.0,0.0,0.11267605633802817,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.6691542288557214,0.08918762981767829
1.0,0.0,0.0,1.0,0.647887323943662,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.02288557213930348,0.11472997922917148
0.0,1.0,0.0,0.0,0.1267605633802817,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.11343283582089547,0.031456265866605125
1.0,0.0,0.0,0.0,0.7887323943661972,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.3621890547263681,0.3595545811216247
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8109452736318408,0.009341103161781675
0.0,0.0,1.0,0.0,0.6619718309859155,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.7840796019900497,0.5393664897299792
1.0,0.0,0.0,0.0,0.16901408450704225,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.014925373134328346,0.02849642280175398
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27313432835820894,0.0031040849296099706
0.0,0.0,0.0,0.0,0.647887323943662,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.23532338308457706,0.2142222478652204
0.0,0.0,0.0,1.0,0.8591549295774649,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.8149253731343283,0.7379240710823909
1.0,0.0,0.0,1.0,0.3943661971830986,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.26616915422885573,0.14120124624971153
